video_url,likes,comments,favorites,shares,trang_thai
https://www.tiktok.com/@the.shine.fitness/video/7436394917347298578,91,7,4,42,ok
https://www.tiktok.com/@the.shine.fitness/video/7448638568240614664,8497,50,657,210,ok
https://www.tiktok.com/@the.shine.fitness/video/7671122663779077394,10,0,0,Chia sẻ,khong_co_comment
